,Code,rcp,period,season,variable,parameter,value
198,MASS,NA,present,annual,min,SSS,29.2084045410156
199,PORT,NA,present,annual,min,SSS,29.8842868804932
200,POK,NA,present,annual,min,SSS,26.2904262542725
201,POUL,NA,present,annual,min,SSS,29.0746574401855
202,NRIV,NA,present,annual,min,SSS,28.1556396484375
203,BUCK,NA,present,annual,min,SSS,30.4809494018555
204,PETITE,NA,present,annual,min,SSS,28.1890182495117
205,RIM,NA,present,annual,min,SSS,18.6542873382568
206,SEPT,NA,present,annual,min,SSS,21.2351360321045
207,CH33,NA,present,annual,min,SSS,13.5800743103027
208,CH38,NA,present,annual,min,SSS,9.83316612243652
209,MELM,NA,present,annual,min,SSS,25.5682201385498
210,GreatBay,NA,present,annual,min,SSS,29.9809761047363
211,SUM,NA,present,annual,min,SST,-1.5481014251709
212,TH,NA,present,annual,min,SST,-0.0691279172897339
213,MASI,NA,present,annual,min,SST,0.316773474216461
214,SAC,NA,present,annual,min,SST,0.196270704269409
215,PRJ,NA,present,annual,min,SST,1.38154602050781
216,HEB,NA,present,annual,min,SST,1.44763839244843
217,L3F,NA,present,annual,min,SST,0.307844936847687
218,SAM,NA,present,annual,min,SST,0.397506982088089
219,MASS,NA,present,annual,min,SST,1.70122122764587
220,PORT,NA,present,annual,min,SST,1.42142653465271
221,POK,NA,present,annual,min,SST,-1.61801052093506
222,POUL,NA,present,annual,min,SST,-0.792965233325958
223,NRIV,NA,present,annual,min,SST,-1.46796226501465
224,BUCK,NA,present,annual,min,SST,-1.6931791305542
225,PETITE,NA,present,annual,min,SST,-1.65150272846222
226,RIM,NA,present,annual,min,SST,-1.37706851959229
227,SEPT,NA,present,annual,min,SST,-1.16246104240417
228,CH33,NA,present,annual,min,SST,-1.20795273780823
229,CH38,NA,present,annual,min,SST,-1.08994483947754
230,MELM,NA,present,annual,min,SST,-1.41277551651001
231,GreatBay,NA,present,annual,min,SST,2.01300311088562
232,SUM,NA,present,annual,min,Tbtm,-1.52263927459717
233,TH,NA,present,annual,min,Tbtm,0.00326576665975153
234,MASI,NA,present,annual,min,Tbtm,0.346203923225403
235,SAC,NA,present,annual,min,Tbtm,0.249839067459106
236,PRJ,NA,present,annual,min,Tbtm,1.384521484375
237,HEB,NA,present,annual,min,Tbtm,1.44756233692169
238,L3F,NA,present,annual,min,Tbtm,0.365333020687103
239,SAM,NA,present,annual,min,Tbtm,0.507017076015472
240,MASS,NA,present,annual,min,Tbtm,2.14079666137695
241,PORT,NA,present,annual,min,Tbtm,1.60055458545685
242,POK,NA,present,annual,min,Tbtm,-1.44083368778229
243,POUL,NA,present,annual,min,Tbtm,-0.667180716991425
244,NRIV,NA,present,annual,min,Tbtm,-1.37539005279541
245,BUCK,NA,present,annual,min,Tbtm,-1.64838135242462
